#+++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++
#
#   IPW-3 Final Ice Shape DATA SUBMITTAL FORM for Test Case NACA0012_AE3933, May 18th 2026
#
#       NOMENCLATURE:
#             X_ICED [m]:  X-coordinate of the iced surface
#             Y_ICED [m]:  Y-coordinate of the iced surface
#             Z_ICED [m]:  Z-coordinate of the iced surface
#
#                XXmm:  Roughness height used for the case, in mm.
#                       In the zone name, use the format KS_XXmm.
#                       For example, if k_s = 1.5 mm, use KS_1p5mm. 
#                       For Variable roughness, use KS_VAR
#
#    FLOW CONDITIONS:
#                                   AOA: 4.0 deg
#                           Mach Number: 0.3127 [-]
#       Mean aerodynamic chord (M.A.C.): 0.5334 [m]
#                       Reynolds Number: 3.8947 million (based on MAC)
#                       Freestream Temp: 270.95 [K]
#                        Reference area: 0.97548 [m2]
#               Moment Reference Center: 0.13335, 0, 0 [m] (X, Y, Z)
#
#    ICING CONDITIONS:
#                           Icing Time: 420 [s]
#                                  LWC: 0.55 [g/m3]
#                                  MVD: 20 [μm]
#
#              NOTES: 1. Please use at least 5 decimal places in the numerical values
#                     2. If data are NOT provided, please fill data fields with a numerical value of "-999" 
#
#++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++

AUXDATA NUM_LAYERS  = "insert the number of total ice layers"
                                              
VARIABLES = "X_ICED" "Y_ICED" "Z_ICED"

ZONE T="SLICE_Y_0p9144_BINS01_KS_1mm_SINGLE_LAYER"
5.320968032E-01 9.143999815E-01 -2.719379961E-02
5.307565928E-01 9.143999815E-01 -2.687221393E-02
5.307565928E-01 9.143999815E-01 -2.687221207E-02
5.282347202E-01 9.143999815E-01 -2.633979544E-02
5.282347202E-01 9.143999815E-01 -2.633979358E-02
5.244386792E-01 9.143999815E-01 -2.554239705E-02
5.244386792E-01 9.143999815E-01 -2.554239333E-02
5.196163058E-01 9.143999815E-01 -2.453564480E-02
5.196163058E-01 9.143999815E-01 -2.453564107E-02
5.144588947E-01 9.143999815E-01 -2.346669510E-02
5.144588947E-01 9.143999815E-01 -2.346669137E-02
5.092998743E-01 9.143999815E-01 -2.240577713E-02
5.092998743E-01 9.143999815E-01 -2.240577340E-02
5.041391850E-01 9.143999815E-01 -2.135273628E-02
5.041391850E-01 9.143999815E-01 -2.135273255E-02
4.989770055E-01 9.143999815E-01 -2.030743100E-02
4.989769757E-01 9.143999815E-01 -2.030742727E-02
4.938132465E-01 9.143999815E-01 -1.926977374E-02
4.938132167E-01 9.143999815E-01 -1.926977001E-02
4.886479676E-01 9.143999815E-01 -1.823964529E-02
4.886479378E-01 9.143999815E-01 -1.823964156E-02
4.834812284E-01 9.143999815E-01 -1.721690223E-02
4.834811985E-01 9.143999815E-01 -1.721689850E-02
4.783130288E-01 9.143999815E-01 -1.620145887E-02
4.783129990E-01 9.143999815E-01 -1.620145515E-02
4.731434286E-01 9.143999815E-01 -1.519323140E-02
4.731433988E-01 9.143999815E-01 -1.519322768E-02
4.679724574E-01 9.143999815E-01 -1.419213042E-02
4.679724276E-01 9.143999815E-01 -1.419212669E-02
4.628001153E-01 9.143999815E-01 -1.319807023E-02
4.628000855E-01 9.143999815E-01 -1.319806650E-02
4.576264322E-01 9.143999815E-01 -1.221096050E-02
4.576264024E-01 9.143999815E-01 -1.221095677E-02
4.524514675E-01 9.143999815E-01 -1.123073976E-02
4.524514377E-01 9.143999815E-01 -1.123073604E-02
4.472751915E-01 9.143999815E-01 -1.025737077E-02
4.472751617E-01 9.143999815E-01 -1.025736704E-02
4.420976341E-01 9.143999815E-01 -9.290781803E-03
4.420976043E-01 9.143999815E-01 -9.290778078E-03
4.369188249E-01 9.143999815E-01 -8.330932818E-03
4.369187951E-01 9.143999815E-01 -8.330929093E-03
4.317388237E-01 9.143999815E-01 -7.377834991E-03
4.317387938E-01 9.143999815E-01 -7.377831731E-03
4.265575409E-01 9.143999815E-01 -6.431459449E-03
4.265575111E-01 9.143999815E-01 -6.431456190E-03
4.213750660E-01 9.143999815E-01 -5.491762422E-03
4.213750362E-01 9.143999815E-01 -5.491759162E-03
4.161913395E-01 9.143999815E-01 -4.558736924E-03
4.161913097E-01 9.143999815E-01 -4.558733664E-03
4.110064507E-01 9.143999815E-01 -3.632395994E-03
4.110064209E-01 9.143999815E-01 -3.632392734E-03
4.058203399E-01 9.143999815E-01 -2.712752437E-03
4.058203101E-01 9.143999815E-01 -2.712749178E-03
4.006330669E-01 9.143999815E-01 -1.799823716E-03
4.006330371E-01 9.143999815E-01 -1.799820340E-03
3.954446018E-01 9.143999815E-01 -8.936344530E-04
3.954445720E-01 9.143999815E-01 -8.936311351E-04
3.902550042E-01 9.143999815E-01 5.748092462E-06
3.902549744E-01 9.143999815E-01 5.751368008E-06
3.850641549E-01 9.143999815E-01 8.982410654E-04
3.850641251E-01 9.143999815E-01 8.982443251E-04
3.798721135E-01 9.143999815E-01 1.783826156E-03
3.798720837E-01 9.143999815E-01 1.783829415E-03
3.746789396E-01 9.143999815E-01 2.662487095E-03
3.746789098E-01 9.143999815E-01 2.662490355E-03
3.694845736E-01 9.143999815E-01 3.534099786E-03
3.694845438E-01 9.143999815E-01 3.534103045E-03
3.642889857E-01 9.143999815E-01 4.398514982E-03
3.642889559E-01 9.143999815E-01 4.398518242E-03
3.590922058E-01 9.143999815E-01 5.255705211E-03
3.590921760E-01 9.143999815E-01 5.255708471E-03
3.538942337E-01 9.143999815E-01 6.105591077E-03
