#+++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++
#
#   IPW-3 Final Ice Shape DATA SUBMITTAL FORM for Test Case NACA0012_AE3933, May 18th 2026
#
#       NOMENCLATURE:
#             X_ICED [m]:  X-coordinate of the iced surface
#             Y_ICED [m]:  Y-coordinate of the iced surface
#             Z_ICED [m]:  Z-coordinate of the iced surface
#
#                XXmm:  Roughness height used for the case, in mm.
#                       In the zone name, use the format KS_XXmm.
#                       For example, if k_s = 1.5 mm, use KS_1p5mm. 
#                       For Variable roughness, use KS_VAR
#
#    FLOW CONDITIONS:
#                                   AOA: 4.0 deg
#                           Mach Number: 0.3127 [-]
#       Mean aerodynamic chord (M.A.C.): 0.5334 [m]
#                       Reynolds Number: 3.8947 million (based on MAC)
#                       Freestream Temp: 270.95 [K]
#                        Reference area: 0.97548 [m2]
#               Moment Reference Center: 0.13335, 0, 0 [m] (X, Y, Z)
#
#    ICING CONDITIONS:
#                           Icing Time: 420 [s]
#                                  LWC: 0.55 [g/m3]
#                                  MVD: 20 [μm]
#
#              NOTES: 1. Please use at least 5 decimal places in the numerical values
#                     2. If data are NOT provided, please fill data fields with a numerical value of "-999" 
#
#++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++

VARIABLES = "X_ICED" "Y_ICED" "Z_ICED"
ZONE T="SLICE_Y_0p9144_BINS01_KS_0p5334mm_SINGLE_LAYER"
0.53243 0.91440 -0.02791 
0.53242 0.91440 -0.02802 
0.53241 0.91440 -0.02813 
0.53240 0.91440 -0.02824 
0.53239 0.91440 -0.02835 
0.53239 0.91440 -0.02846 
0.53238 0.91440 -0.02858 
0.53202 0.91440 -0.02860 
0.53144 0.91440 -0.02864 
0.53052 0.91440 -0.02871 
0.52905 0.91440 -0.02881 
0.52669 0.91440 -0.02897 
0.52292 0.91440 -0.02922 
0.51916 0.91440 -0.02947 
0.51540 0.91440 -0.02972 
0.51164 0.91440 -0.02996 
0.50788 0.91440 -0.03019 
0.50412 0.91440 -0.03042 
0.50036 0.91440 -0.03065 
0.49660 0.91440 -0.03088 
0.49284 0.91440 -0.03110 
0.48907 0.91440 -0.03131 
0.48531 0.91440 -0.03152 
0.48155 0.91440 -0.03173 
0.47779 0.91440 -0.03194 
0.47403 0.91440 -0.03214 
0.47027 0.91440 -0.03233 
0.46650 0.91440 -0.03253 
0.46274 0.91440 -0.03272 
0.45898 0.91440 -0.03290 
0.45521 0.91440 -0.03309 
0.45145 0.91440 -0.03327 
0.44769 0.91440 -0.03344 
0.44392 0.91440 -0.03361 
0.44016 0.91440 -0.03378 
0.43640 0.91440 -0.03395 
0.43263 0.91440 -0.03411 
0.42887 0.91440 -0.03426 
0.42510 0.91440 -0.03442 
0.42134 0.91440 -0.03457 
0.41758 0.91440 -0.03472 
0.41381 0.91440 -0.03486 
0.41005 0.91440 -0.03500 
0.40628 0.91440 -0.03514 
0.40252 0.91440 -0.03527 
